"subject" "activity" "domainType" "sensorType" "axisDir" "statsType" "accType" "isJerk" "isMagnitude" "average"
"1" 1 "LAYING" "freq" "accelerometer" NA "mean" "Body" NA "Mag" -0.86197891675
"2" 1 "LAYING" "freq" "accelerometer" NA "mean" "Body" "Jerk" "Mag" -0.9378336537
"3" 1 "LAYING" "freq" "accelerometer" NA "std" "Body" NA "Mag" -0.81131019004
"4" 1 "LAYING" "freq" "accelerometer" NA "std" "Body" "Jerk" "Mag" -0.9272323216
"5" 1 "LAYING" "freq" "accelerometer" "X" "mean" "Body" NA NA -0.9390990524
"6" 1 "LAYING" "freq" "accelerometer" "X" "mean" "Body" "Jerk" NA -0.9570738838
"7" 1 "LAYING" "freq" "accelerometer" "X" "std" "Body" NA NA -0.9244374346
"8" 1 "LAYING" "freq" "accelerometer" "X" "std" "Body" "Jerk" NA -0.9641607086
"9" 1 "LAYING" "freq" "accelerometer" "Y" "mean" "Body" NA NA -0.86706520518
"10" 1 "LAYING" "freq" "accelerometer" "Y" "mean" "Body" "Jerk" NA -0.9224626098
"11" 1 "LAYING" "freq" "accelerometer" "Y" "std" "Body" NA NA -0.8336255561
"12" 1 "LAYING" "freq" "accelerometer" "Y" "std" "Body" "Jerk" NA -0.9322178704
"13" 1 "LAYING" "freq" "accelerometer" "Z" "mean" "Body" NA NA -0.8826668762
"14" 1 "LAYING" "freq" "accelerometer" "Z" "mean" "Body" "Jerk" NA -0.9480609042
"15" 1 "LAYING" "freq" "accelerometer" "Z" "std" "Body" NA NA -0.81289155944
"16" 1 "LAYING" "freq" "accelerometer" "Z" "std" "Body" "Jerk" NA -0.9605869872
"17" 1 "LAYING" "freq" "gyroscope" "X" "mean" "Body" NA NA -0.850249174586
"18" 1 "LAYING" "freq" "gyroscope" "X" "std" "Body" NA NA -0.8822964508
"19" 1 "LAYING" "freq" "gyroscope" "Y" "mean" "Body" NA NA -0.9521914948
"20" 1 "LAYING" "freq" "gyroscope" "Y" "std" "Body" NA NA -0.9512320494
"21" 1 "LAYING" "freq" "gyroscope" "Z" "mean" "Body" NA NA -0.909302721
"22" 1 "LAYING" "freq" "gyroscope" "Z" "std" "Body" NA NA -0.9165825082
"23" 1 "LAYING" "time" "accelerometer" NA "mean" "Body" NA "Mag" -0.8419291525
"24" 1 "LAYING" "time" "accelerometer" NA "mean" "Body" "Jerk" "Mag" -0.9543962646
"25" 1 "LAYING" "time" "accelerometer" NA "mean" "Gravity" NA "Mag" -0.8419291525
